region,key,value
Asia,Afghanistan,3.8
Europe,Albania,10
Africa,Algeria,8
Europe,Andorra,10.2
Africa,Angola,5.1
America,Antigua and Barbuda,9.2
America,Argentina,9.9
Asia,Armenia,11.7
Oceania,Australia,12.9
Europe,Austria,12.1
Asia,Azerbaijan,10.7
America,Bahamas,11.1
Asia,Bahrain,9.4
Asia,Bangladesh,5.8
America,Barbados,10.6
Europe,Belarus,12.3
Europe,Belgium,11.8
America,Belize,10.5
Africa,Benin,3.6
Asia,Bhutan,3.1
America,Bolivia,8.9
Europe,Bosnia and Herzegovina,9.7
Africa,Botswana,9.3
America,Brazil,7.8
Asia,Brunei,9.1
Europe,Bulgaria,11.8
Africa,Burkina Faso,1.5
Africa,Burundi,3
Asia,Cambodia,4.8
Africa,Cameroon,6.3
America,Canada,13.3
Africa,Cape Verde,6.1
Africa,Central African Republic,4.3
Africa,Chad,2.3
America,Chile,10.3
Asia,China,7.8
America,Colombia,8.3
Africa,Comoros,4.8
Africa,Congo,6.3
America,Costa Rica,8.8
Africa,Cote d'Ivoire,5.2
Europe,Croatia,11.3
America,Cuba,11.8
Asia/Europe,Cyprus,12.1
Europe,Czechia,12.7
Africa,Democratic Republic of Congo,6.8
Europe,Denmark,12.6
Africa,Djibouti,4.1
America,Dominica,7.8
America,Dominican Republic,7.8
America,Ecuador,8.7
Africa,Egypt,7.2
America,El Salvador,6.9
Africa,Equatorial Guinea,5.5
Africa,Eritrea,4
Europe,Estonia,12.7
Africa,Eswatini,6.5
Africa,Ethiopia,2.7
Oceania,Fiji,10.8
Europe,Finland,12.4
Europe,France,11.5
Africa,Gabon,8.2
Africa,Gambia,3.5
Asia/Europe,Georgia,12.8
Europe,Germany,14.1
Africa,Ghana,7.1
Europe,Greece,10.8
America,Grenada,8.7
America,Guatemala,6.5
Africa,Guinea,2.6
Africa,Guinea-Bissau,3
America,Guyana,8.4
America,Haiti,5.3
America,Honduras,6.5
Asia,Hong Kong,12
Europe,Hungary,11.9
Europe,Iceland,12.4
Asia,India,6.4
