time,Advanced Economies,Asia and the Pacific,Eastern Europe,Latin America and the Caribbean,Middle East and North Africa,Sub-Saharan Africa
1870,74.4576,30.04064,67.97205,27.27766,24.39404,8.11676
1875,76.92046,25.44332,68.00023,28.63011,25.32704,6.64629
1880,74.92967,22.84131,68.99456,30.24433,22.24614,5.64583
1885,78.5665,17.0367,69.17495,33.03899,19.72015,4.9068
1890,77.19675,14.30141,70.70409,36.90656,18.94147,4.65255
1895,81.50023,13.02516,73.32612,40.99727,18.33005,5.10057
1900,82.89312,14.30075,68.64681,53.16052,29.65252,7.46943
1905,83.96079,15.91014,65.59886,62.69036,35.66284,16.51518
1910,84.39023,16.95668,67.64238,78.58886,37.67577,24.14239
1915,86.22112,20.63757,67.96551,76.83069,35.22796,33.15442
1920,89.54569,29.8062,71.04899,81.36664,33.30417,40.43565
1925,92.39168,28.28355,75.63246,82.57318,33.73384,45.66019
1930,94.65426,27.02677,79.10544,83.15327,36.35699,50.88
1935,95.20206,26.60637,81.43148,82.30816,37.29398,55.99089
1940,96.37786,46.7611,80.83611,82.0479,34.60007,58.41426
1945,96.73061,44.53684,81.20117,83.45732,33.97751,61.28516
1950,94.20608,46.75366,81.39036,85.35374,34.28489,60.46001
1955,94.04594,48.72198,82.2713,86.44909,35.16299,59.1262
1960,94.78143,52.85789,83.69839,87.43106,36.16919,58.04284
1965,94.78578,58.08843,83.16256,88.16351,37.62162,56.82315
1970,94.68457,63.89221,85.20955,89.91409,40.38987,58.32391
1975,94.27596,66.25009,88.23953,90.13137,47.03163,58.63516
1980,95.03015,69.34769,91.0499,91.87546,51.59725,59.21986
1985,96.56259,74.98585,92.59751,95.5341,57.1493,61.77805
1990,96.98989,80.13951,95.19833,98.41012,63.34433,67.36083
1995,97.15469,76.55644,99.5089,98.65272,70.20562,72.22995
2000,98.07572,75.94535,100.0765,99.1202,76.51796,74.32109
2005,99.22068,80.10808,100.8708,99.37784,80.68445,77.87061
2010,99.99858,84.07307,101.281,101.2789,87.49546,81.99623
